category,title,authors,year,venue,market,open_access,id_or_url,relevance_to_project
ML asset pricing (China),Interpretable Deep Learning for Stock Returns: a Consensus-Bottleneck Asset Pricing Model,-,2025,arXiv 2512.16251,General,Yes,https://arxiv.org/abs/2512.16251,"Interpretable DL pricing — relevant to your reasoning-quality rubric"
ML asset pricing (benchmark),Empirical Asset Pricing via Machine Learning,"Gu, Kelly, Xiu",2020,Review of Financial Studies,US,Yes (working paper),http://arc.hhs.se/download.aspx?MediumId=5617,"BENCHMARK — the canonical ML asset-pricing paper the China papers replicate"
ML asset pricing (benchmark),Deep Learning in Asset Pricing,"Chen, Pelger, Zhu",2019,arXiv 1904.00745,US,Yes,https://arxiv.org/abs/1904.00745,"No-arbitrage deep net for the SDF — methodology reference"
HFT / microstructure (China),High-frequency lead-lag relationships in the Chinese stock index futures market,"Li, Chen, Liu",2025,arXiv 2501.03171 / SSRN 5092250,China,Yes,https://arxiv.org/abs/2501.03171,"Tick-level price-discovery signal in CFFEX calendar spreads"
HFT / microstructure (China),Price duration returns and volatility: China's stock index futures market,-,2024,ScienceDirect,China,No,https://www.sciencedirect.com/science/article/pii/S2214845024000991,"Microstructure GARCH on duration/volume/OI"
HFT / microstructure (China),Profitability of simple stationary technical trading rules (Chinese Index Futures HF data),-,2017,arXiv 1710.07470,China,Yes,https://arxiv.org/abs/1710.07470,"HF technical-rule profitability on index futures"
Stat arb / pairs (China),An innovative high-frequency statistical arbitrage in Chinese futures market,-,2023,J. Innovation & Knowledge,China,Yes,https://www.elsevier.es/en-revista-journal-innovation-knowledge-376-articulo-an-innovative-high-frequency-statistical-arbitrage-S2444569X23001257,"Cointegration + Kalman + Hurst pairs on 47 commodities"
Stat arb / pairs (China),Exploring Statistical Arbitrage Opportunities Using Machine Learning (CSI 300),-,2021,Computational Economics,China,No,https://dl.acm.org/doi/abs/10.1007/s10614-021-10169-8,"ML stat-arb CSI300 ETF vs futures 2012-2020; LSTM beats cointegration"
Stat arb / pairs (methodology),Statistical arbitrage in multi-pair trading via graph clustering,-,2024,arXiv 2406.10695,US/China,Yes,https://arxiv.org/abs/2406.10695,"Graph-clustering stat-arb (A-share test window)"
Stat arb / pairs (methodology),Advanced Statistical Arbitrage with Reinforcement Learning,-,2024,arXiv 2403.12180,General,Yes,https://arxiv.org/abs/2403.12180,"RL stat-arb — methodology reference"
News / NLP / LLM (finance),Large Language Models and Futures Price Factors in China,-,2025,arXiv 2509.23609,China,Yes,https://arxiv.org/abs/2509.23609,"CORE — LLM-derived price factors on Chinese futures; closest analogue to your news-agent + Qwen fine-tune plan"
News / NLP / LLM (finance),Predicting Stock Prices with FinBERT-LSTM: Integrating News Sentiment Analysis,-,2024,arXiv 2407.16150,General,Yes,https://arxiv.org/abs/2407.16150,"News-sentiment -> price pipeline; mirrors your risk-filter -> agent flow"
News / NLP / LLM (finance),Financial sentiment analysis using FinBERT with application in predicting stock movement,-,2023,arXiv 2306.02136,General,Yes,https://arxiv.org/abs/2306.02136,"FinBERT baseline for the news-context agent"
News / NLP / LLM (finance),A Framework for Measuring How News Topics Drive Stock Movement,-,2025,arXiv 2510.06864,General,Yes,https://arxiv.org/abs/2510.06864,"News-topic -> return attribution; relevant to supervisor root-cause output"
Hedge fund performance (China),Overseas Experience and Fund Performance: Evidence from Chinese Hedge Funds,"Lu, Ray, Yan, Li",-,SSRN 4830813,China,Yes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4830813,"Returnee-manager outperformance concentrated in quant funds — context for the founder map"
Hedge fund performance (China),Can quantitative investment improve market efficiency? Evidence from China,Hu et al.,2024,European Financial Management,China,No,https://onlinelibrary.wiley.com/doi/10.1111/eufm.12485,"Market-impact of quant investing in China"
Industry review,The Evolution Strategies and Technologies of Quantitative Investing: a Review (Chinese Market),-,2025,ResearchGate,China,Yes,https://www.researchgate.net/publication/396808251,"Survey/orientation to the Chinese quant landscape"
